disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
2028,,,,,,,,,,,2b62357acfd2e04882a4d225a9ebd41f42b5cdac,2023-03-18T13:22:12.883Z,97468b67-f8d6-4208-832e-391123437d53
2029,,,,,,,,,,,ca121609ee139894c3173ab6506f58311d58b7cb,2023-03-18T13:22:12.883Z,ac31e054-ad56-49c2-873b-fcd825a8fe2d
2030,,,,,,,,,,,e0059083645d648b976ea5f0940929a76b806b67,2023-03-18T13:22:12.883Z,421fba0b-4df2-4c3b-8dff-4414cc00cc25
2031,,,,,,,,,,,229fff0a8eda15de5b2718114aed827a5675c440,2023-03-18T13:22:12.883Z,62a3bc8e-73d1-433b-b75c-715908ca81ef
2032,,,,,,,,,,,d55f0cf479f331b751da0007cc93adcb1e83bec8,2023-03-18T13:22:12.883Z,36a04f17-caa4-4f48-b3c1-ddcea98ef6b9
2033,,,,,,,,,,,c6dc46dcdba9a2ca81d509a1f82dcc0558265c85,2023-03-18T13:22:12.883Z,a42d6ef0-8bae-47c2-b933-7d34a9ebf6e1
2034,,,,,,,,,,,9ae5ca5a3dda268bed28c3f4008abd86dad9f4a3,2023-03-18T13:22:12.883Z,500ed286-9455-498a-bd62-5a354d5dcf03
2035,,,,,,,,,,,0bf05ca6dc7a9f2de29e7bf1555f985b98f709f5,2023-03-18T13:22:12.883Z,48416728-26c6-4b57-bdb0-b4345e9ec630
2036,,,,,,,,,,,089e85e80b9efb5c8d48e4decd292e73e7259565,2023-03-18T13:22:12.883Z,864940c1-ea1a-47fa-99dc-7ef038ac8412
2037,,,,,,,,,,,3d5eb37a44ebf0591d04fac6a067137ae7debf6c,2023-03-18T13:22:12.883Z,4b0c797c-d485-451c-b864-7b4c06edea28
2038,,,,,,,,,,,a26dba3ede407d90efd7bdee1da5b56cf8619701,2023-03-18T13:22:12.883Z,ce52f5ea-0be0-4c0f-b67a-7c748f561ba4
2039,,,,,,,,,,,ab88398c680c7f9e0d4183963108ac3909d030b3,2023-03-18T13:22:12.883Z,0cce9d96-07e2-43b1-b23e-e51f72df0b5f
2040,,,,,,,,,,,d45b5c89f54175894bcb7690d7d2fac8e138d7c7,2023-03-18T13:22:12.883Z,b4b07ec2-f4d4-4ad1-a336-72dfdc80d9c3
2041,,,,,,,,,,,4ff422f6c8b9661611173eeae35cf59e25c1bbd6,2023-03-18T13:22:12.883Z,289f9b73-4930-46dc-9ce6-74425963c4cb
1843,590,5852701.19,2696850.42,3155850.77,19558149.68,4738750.9,14060646.74,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,3479110,10487c2cbbddee6893bbdbf15988b663710ae281,2023-10-31T05:42:54.770Z,d92cc86e-3144-4640-b4ad-82d657703f8d
2043,,,,,,,,,,,31a16ae739bc08374b404a45e0fbff833f62973d,2023-03-18T13:22:12.883Z,7b269797-64fc-45e9-a147-9a218f269482
1846,115,2055904.84,1798705.32,257199.52,,,,,2023-10-31T00:00:00.000Z,198355,621aa03e55d66aa4ad42143cb7944b9607bc7f7b,2023-10-31T05:42:54.770Z,841a74ca-d7f1-49ec-8db8-79a383e32f89
2045,,,,,,,,,,,b8d817dea367333b272f3a3b2dac1d2586f2b194,2023-03-18T13:22:12.883Z,f75831ca-748d-4b74-bc76-d5918b9b46bb
2046,,,,,,,,,,,1c03db7699289f1a01c865616d57570087a178f2,2023-03-18T13:22:12.883Z,614c2faa-b3a0-4812-b745-6be345af09bb
2047,,,,,,,,,,,cb044f99b87b50e9c3d34ea0bbfaeac3895f1a7d,2023-03-18T13:22:12.883Z,b178888a-aea4-4f48-9801-9bb6f8cc556a
2048,,,,,,,,,,,ee104ee580d5cb7310bb01d7403ed21a5c4a49f5,2023-03-18T13:22:12.883Z,c108d5e0-ddcf-4d08-b093-9bf1054cb80e
2049,,,,,,,,,,,94f574d726c5c16d4dc34fc04cf74cbeca47377c,2023-03-18T13:22:12.883Z,bf9c28bc-33ee-4d7e-ac86-b4677a42f880
2050,,,,,,,,,,,bdcab90f244b91eacfecdccc30d5d083ce29e589,2023-03-18T13:22:12.883Z,6cf8f0a3-9dc3-498f-9965-83fce4f77c68
2051,,,,,,,,,,,ce57672afda674b48164fdace92e84e625310d5f,2023-03-18T13:22:12.883Z,b1c6ecdc-2aab-4bac-955a-135318aa350f
2052,,,,,,,,,,,70225301d45bdcb7c88d2b39fedfd77fe27e6950,2023-03-18T13:22:12.883Z,2bee00fd-1bef-495b-a53f-c875f5321cfa
2053,,,,,,,,,,,d3523b553a4249190125ada7b7323235db43b8f3,2023-03-18T13:22:12.883Z,d70668c4-a2a9-48d5-be12-1a2c962699a6
2054,,,,,,,,,,,e7ccfe7bbc41c7c1c063642b29e7b25a1c856903,2023-03-18T13:22:12.883Z,03ee2769-179e-4db6-bff4-1c794e7ff7aa
2055,,,,,,,,,,,3c936f7079c4be765f4496af9f3dc4f1a75cb2fc,2023-03-18T13:22:12.883Z,23b3031b-ea00-43c5-9848-511aaca13d4a
2056,,,,,,,,,,,0d970b7ccadf92a9c0bb1c4ee069f96caf0fc00a,2023-03-18T13:22:12.883Z,43378ff9-aff1-4b8e-b7a4-f667a733be0f
